"span","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alert__text","","","","","","","","","","","","","","","","","","","","","","","","","","Закрытие станции метро «Ладожская» с 4 марта","34","180","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(3) > DIV:nth-child(2) > DIV:nth-child(1) > A:nth-child(1) > SPAN:nth-child(1)","0"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alert__image-wrapper","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(3) > DIV:nth-child(2) > DIV:nth-child(1) > A:nth-child(1) > DIV:nth-child(2)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","background-image:url(https://yastatic.net/s3/home/notifications/touch/metro_spb_no_line.svg)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alert__image alert__image_size_icon","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(3) > DIV:nth-child(2) > DIV:nth-child(1) > A:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1)","0"
"button","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","alert__close","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(3) > DIV:nth-child(3) > DIV:nth-child(2) > DIV:nth-child(1) > BUTTON:nth-child(2)","0"
"input","","","","","","","","","","","","","","","","","text","","","","","","400","","","","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","text","","","","","","","","","","","","","","","","","","","","найдётся всё","","search3__input mini-suggest__input","","","","","off","","","","","","","","","","","","","","","","","","","","","","53","612","#text","0"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","клавиатура","","","","","","","","","mini-suggest__action search3__keyboard search3__action","","","","","","","","","","","","","","","","","","","","","","","","","","","53","42","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1) > DIV:nth-child(2)","1"
"svg","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","search3__svg_keyboard","","","","","","","","","","","","","","","","","","","","","","","","","",,"32","32","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1) > DIV:nth-child(2) > svg:nth-child(1)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","голосовой поиск","","","","","","","","","mini-suggest__action search3__voice search3__action","","","","","","","","","","","","","","","","","","","","","","","","","","","53","42","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1) > DIV:nth-child(3)","1"
"label","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","image_search","","","","","","","","","","","","","image-search__picker-label ","","","","","","","","","","","","","","","","","","","","","","","","","","","53","42","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1) > DIV:nth-child(4) > LABEL:nth-child(1)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","search3__action search3__icon-camera","","","","","","","","","","","","","","","","","","","","","","","","","","","53","42","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1) > DIV:nth-child(4) > LABEL:nth-child(1) > DIV:nth-child(1)","1"
"button","","","","button","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","очистить поисковый запрос","","","","","","","","","search3__action search3__clear mini-suggest__input-clear","","","","","","","","","","","","","","","","","","","","","","","","","","","53","40","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1) > BUTTON:nth-child(5)","1"
"svg","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","search3__svg_clear","","","","","","","","","","","","","","","","","","","","","","","","","",,"32","32","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(2) > DIV:nth-child(1) > BUTTON:nth-child(5) > svg:nth-child(1)","1"
"div","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","mini-suggest__overlay","","","","","","","","","","","","","","","","","","","","","","","","","","","683","1349","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > FORM:nth-child(1) > DIV:nth-child(5)","0"
"a","","","","","","","","","","","","","","","","https://yandex.ru/pogoda/2?lat=59.938951&lon=30.315635&utm_campaign=informer&utm_content=main_informer&utm_medium=web&utm_source=home","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noopener","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","home-link2 informers3__item informers3__weather home-link2_color_inherit home-link2_hover_secondary","","","","","","","","","","","","","","","","","","_blank","","","","","","","","−1°","42","81","HTML > BODY:nth-child(2) > MAIN:nth-child(1) > DIV:nth-child(4) > DIV:nth-child(3) > A:nth-child(1)","1"
